PRECIPITATION,MAX_TEMP,MIN_TEMP,AVG_WIND_SPEED,YEAR,TEMP_RANGE,LAGGED_PRECIPITATION,LAGGED_AVG_WIND_SPEED,SEASON_SIN,SEASON_COS,DAY_SIN,DAY_COS,FIRE_START_DAY
0.0,0.4285714285714286,0.7045454545454546,0.21082854799015585,0.07317073170732158,0.20512820512820512,0.0,0.3492127034961302,-1.0,-1.8369701987210297e-16,-0.9970175264485267,0.07717546212664607,1
0.0,0.375,0.7045454545454546,0.25676784249384743,0.07317073170732158,0.1282051282051282,0.0,0.36709367493995193,-1.0,-1.8369701987210297e-16,-0.9955457941960382,0.09427922177542405,1
0.0,0.3928571428571428,0.6363636363636365,0.2018047579983593,0.07317073170732158,0.23076923076923078,0.0,0.36709367493995193,-1.0,-1.8369701987210297e-16,-0.9937806700284985,0.11135519690480829,1
0.0,0.4285714285714286,0.7045454545454546,0.25676784249384743,0.07317073170732158,0.20512820512820512,0.0,0.38497464638377354,-1.0,-1.8369701987210297e-16,-0.9917226741361016,0.1283983551465503,0
0.0,0.375,0.6590909090909092,0.15586546349466773,0.07317073170732158,0.17948717948717946,0.0,0.37296503869762465,-1.0,-1.8369701987210297e-16,-0.9893724130196829,0.14540367380368996,0
0.0,0.5535714285714286,0.6136363636363638,0.22928630024610333,0.07317073170732158,0.48717948717948717,0.0,0.36095543101147587,-1.0,-1.8369701987210297e-16,-0.9867305793119814,0.16236614133076377,1
0.0,0.3571428571428572,0.6818181818181819,0.22928630024610333,0.07317073170732158,0.1282051282051282,0.0,0.3669602348545503,-1.0,-1.8369701987210297e-16,-0.9837979515735163,0.17928075881073555,0
0.0,0.3928571428571428,0.5681818181818181,0.19278096800656272,0.07317073170732158,0.3076923076923077,0.0,0.3610888710968774,-1.0,-1.8369701987210297e-16,-0.980575394063143,0.19614254142819676,0
0.0,0.375,0.6136363636363638,0.15586546349466773,0.07317073170732158,0.23076923076923078,0.0,0.32826261008807034,-1.0,-1.8369701987210297e-16,-0.9770638564833509,0.21294651993841537,0
0.0,0.3392857142857142,0.6363636363636365,0.1652994257588187,0.07317073170732158,0.15384615384615385,0.0,0.31638644248732306,-1.0,-1.8369701987210297e-16,-0.9732643737003827,0.22968774213179508,0
0.0,0.375,0.5681818181818181,0.21082854799015585,0.07317073170732158,0.28205128205128205,0.0,0.301441152922338,-1.0,-1.8369701987210297e-16,-0.9691780654392538,0.24636127429331414,0
0.0,0.375,0.7045454545454546,0.23872026251025427,0.07317073170732158,0.1282051282051282,0.0,0.32839605017347206,-1.0,-1.8369701987210297e-16,-0.9648061359537647,0.262962202656514,0
0.0,0.3392857142857142,0.7045454545454546,0.21082854799015585,0.07317073170732158,0.07692307692307691,0.0,0.3223912463303976,-1.0,-1.8369701987210297e-16,-0.9601498736716018,0.2794856348516095,0
0.0,0.3392857142857142,0.6136363636363638,0.23872026251025427,0.07317073170732158,0.17948717948717946,0.0,0.32546036829463565,-1.0,-1.8369701987210297e-16,-0.9552106508146317,0.2959267013472893,0
0.0,0.3392857142857142,0.5454545454545454,0.1652994257588187,0.07317073170732158,0.25641025641025644,0.0,0.3165198825727248,-1.0,-1.8369701987210297e-16,-0.949989922994501,0.3122805568857945,0
